Category,Number of Records,Order Date,Sales Target,Segment
Office Supplies,1,05-09-2016,81,Consumer
Office Supplies,1,3/28/2015,19,Corporate
Office Supplies,1,07-01-2014,89,Home Office
Technology,1,6/18/2015,453,Home Office
Furniture,1,2/18/2016,39,Consumer
Furniture,1,1/20/2015,55,Home Office
Office Supplies,1,4/23/2015,3,Consumer
Office Supplies,1,09-04-2016,113,Home Office
Technology,1,07-11-2015,26,Consumer
Furniture,1,12/19/2014,547,Consumer
Office Supplies,1,07-09-2014,143,Consumer
Technology,1,1/23/2016,4452,Consumer
Furniture,1,1/20/2016,208,Corporate
Office Supplies,1,06-10-2016,1038,Consumer
Technology,1,07-05-2015,55,Consumer
Office Supplies,1,6/29/2015,105,Consumer
Office Supplies,1,9/30/2016,1035,Corporate
Office Supplies,1,08-04-2014,9,Home Office
Technology,1,11-02-2014,105,Consumer
Office Supplies,1,7/28/2015,21,Consumer
Technology,1,7/20/2014,737,Home Office
Office Supplies,1,2/15/2016,5,Consumer
Furniture,1,10-03-2014,10,Corporate
Office Supplies,1,12/28/2016,58,Consumer
Office Supplies,1,4/22/2016,96,Corporate
Technology,1,03-02-2016,126,Consumer
Technology,1,10/26/2015,556,Corporate
Furniture,1,5/15/2015,80,Consumer
Furniture,1,12/22/2016,28,Corporate
Office Supplies,1,1/13/2015,123,Corporate
Technology,1,03-02-2015,209,Corporate
Office Supplies,1,4/28/2015,39,Consumer
Office Supplies,1,09-08-2016,563,Home Office
Furniture,1,02-01-2015,286,Consumer
Office Supplies,1,5/24/2016,586,Consumer
Furniture,1,1/20/2014,180,Consumer
Office Supplies,1,3/30/2014,127,Consumer
Office Supplies,1,12-12-2014,28,Corporate
Office Supplies,1,3/16/2016,114,Consumer
Furniture,1,11-06-2016,610,Consumer
Office Supplies,1,3/14/2016,775,Consumer
Office Supplies,1,4/26/2015,103,Corporate
Furniture,1,2/20/2015,892,Home Office
Office Supplies,1,8/16/2015,3,Consumer
Office Supplies,1,7/24/2015,62,Home Office
Technology,1,1/15/2015,1187,Consumer
Office Supplies,1,7/22/2014,174,Corporate
Technology,1,10-03-2015,113,Consumer
Technology,1,11-08-2015,2468,Corporate
Furniture,1,11-02-2015,192,Consumer
Office Supplies,1,1/14/2014,634,Consumer
Technology,1,1/29/2016,733,Consumer
Technology,1,05-08-2016,202,Corporate
Furniture,1,11-11-2014,33,Consumer
Office Supplies,1,11/19/2016,18,Consumer
Office Supplies,1,04-11-2015,5,Home Office
Technology,1,4/20/2016,9347,Consumer
Office Supplies,1,4/21/2014,294,Home Office
Furniture,1,10/21/2016,27,Home Office
Office Supplies,1,6/26/2016,1351,Home Office
Furniture,1,12/14/2015,904,Consumer
Office Supplies,1,07-12-2014,104,Consumer
Office Supplies,1,11-01-2016,203,Corporate
Technology,1,08-06-2015,634,Consumer
Technology,1,4/19/2016,50,Corporate
Furniture,1,04-10-2015,28,Consumer
Furniture,1,05-12-2014,3435,Corporate
Office Supplies,1,2/28/2014,1180,Consumer
Office Supplies,1,04-12-2014,431,Corporate
Furniture,1,7/15/2016,406,Corporate
Office Supplies,1,9/24/2016,706,Consumer
Office Supplies,1,8/18/2014,110,Corporate
Technology,1,9/16/2015,718,Consumer
Technology,1,11/25/2014,301,Home Office
Furniture,1,05-10-2016,49,Consumer
Office Supplies,1,7/18/2015,41,Consumer
Technology,1,10/26/2015,833,Consumer
Furniture,1,12-08-2014,3115,Corporate
Furniture,1,7/13/2014,52,Home Office
Office Supplies,1,05-05-2014,122,Consumer
Office Supplies,1,05-02-2014,139,Corporate
Office Supplies,1,06-12-2014,1160,Home Office
Technology,1,9/21/2014,331,Consumer
Technology,1,10-12-2015,2990,Corporate
Technology,1,11/15/2016,131,Home Office
Furniture,1,11/29/2016,205,Consumer
Office Supplies,1,12/19/2015,40,Consumer
Technology,1,5/30/2016,173,Consumer
Office Supplies,1,9/26/2016,140,Corporate
Furniture,1,10-01-2016,77,Corporate
Furniture,1,11-02-2014,794,Consumer
Office Supplies,1,6/28/2014,114,Consumer
Technology,1,10/26/2014,1423,Consumer
Office Supplies,1,03-09-2016,434,Consumer
Office Supplies,1,03-10-2016,58,Corporate
Office Supplies,1,10/16/2015,144,Home Office
Furniture,1,03-04-2015,494,Consumer
Office Supplies,1,09-02-2016,820,Consumer
Office Supplies,1,06-02-2016,93,Corporate
Office Supplies,1,7/29/2016,110,Home Office
Technology,1,08-01-2015,773,Consumer
Technology,1,9/13/2015,3281,Home Office
Office Supplies,1,08-12-2015,52,Home Office
Furniture,1,7/21/2014,113,Consumer
Furniture,1,1/27/2014,755,Home Office
Technology,1,01-07-2016,838,Consumer
Furniture,1,4/17/2014,1443,Consumer
Office Supplies,1,1/16/2014,81,Consumer
Furniture,1,12/25/2016,894,Consumer
Furniture,1,12/20/2014,14,Corporate
Office Supplies,1,1/27/2014,73,Consumer
Office Supplies,1,7/16/2016,10,Corporate
Technology,1,12-10-2015,605,Consumer
Furniture,1,12/30/2014,48,Consumer
Furniture,1,06-05-2015,379,Home Office
Office Supplies,1,7/14/2015,552,Consumer
Office Supplies,1,9/22/2014,478,Corporate
Office Supplies,1,02-08-2016,417,Home Office
Technology,1,8/25/2015,67,Consumer
Technology,1,10/18/2016,968,Home Office
Office Supplies,1,6/29/2014,57,Consumer
Technology,1,9/14/2014,416,Home Office
Furniture,1,3/14/2016,2856,Corporate
Furniture,1,1/22/2014,650,Home Office
Office Supplies,1,08-07-2015,42,Consumer
Office Supplies,1,11-04-2014,16,Home Office
Technology,1,9/14/2014,16,Consumer
Technology,1,02-02-2015,25,Home Office
Office Supplies,1,5/20/2015,156,Consumer
Office Supplies,1,04-12-2016,51,Consumer
Technology,1,04-01-2014,82,Home Office
Furniture,1,4/15/2014,1361,Consumer
Furniture,1,01-10-2016,392,Corporate
Office Supplies,1,10/13/2016,680,Consumer
Office Supplies,1,11-12-2014,17,Corporate
Technology,1,10/20/2015,26,Consumer
Technology,1,9/15/2014,482,Corporate
Office Supplies,1,5/30/2015,83,Consumer
Office Supplies,1,11/16/2016,479,Corporate
Office Supplies,1,4/29/2016,15,Corporate
Furniture,1,08-01-2015,178,Consumer
Furniture,1,11-04-2014,53,Corporate
Office Supplies,1,7/31/2015,256,Consumer
Office Supplies,1,11/20/2014,52,Corporate
Office Supplies,1,2/26/2016,500,Home Office
Technology,1,4/15/2016,69,Consumer
Technology,1,3/21/2015,100,Corporate
Furniture,1,8/29/2014,361,Consumer
Office Supplies,1,09-11-2014,200,Consumer
Office Supplies,1,10/26/2016,1,Corporate
Office Supplies,1,9/20/2014,1387,Consumer
Technology,1,06-01-2014,742,Consumer
Office Supplies,1,3/20/2015,364,Consumer
Office Supplies,1,8/13/2015,9,Corporate
Technology,1,9/27/2015,4361,Consumer
Furniture,1,8/24/2014,113,Consumer
Furniture,1,6/26/2016,430,Corporate
Office Supplies,1,9/26/2015,59,Consumer
Office Supplies,1,7/15/2016,298,Corporate
Furniture,1,8/15/2015,22,Consumer
Furniture,1,2/25/2016,33,Corporate
Office Supplies,1,5/31/2015,16,Consumer
Office Supplies,1,04-08-2016,838,Corporate
Office Supplies,1,2/19/2015,592,Home Office
Technology,1,1/17/2016,140,Consumer
Technology,1,8/15/2015,166,Corporate
Technology,1,3/21/2016,12,Home Office
Furniture,1,11-01-2016,534,Corporate
Office Supplies,1,12/31/2014,32,Corporate
Technology,1,9/17/2016,210,Consumer
Furniture,1,3/13/2016,116,Consumer
Office Supplies,1,7/25/2014,326,Consumer
Office Supplies,1,2/22/2015,40,Corporate
Technology,1,01-04-2016,378,Consumer
Office Supplies,1,1/27/2014,169,Consumer
Furniture,1,02-06-2014,1267,Consumer
Office Supplies,1,10-12-2015,35,Consumer
Technology,1,7/17/2016,53,Home Office
Office Supplies,1,2/24/2016,75,Consumer
Office Supplies,1,02-06-2015,103,Home Office
Technology,1,5/21/2015,1577,Home Office
Furniture,1,2/14/2014,789,Corporate
Office Supplies,1,03-05-2015,8,Consumer
Office Supplies,1,02-07-2016,44,Corporate
Office Supplies,1,4/24/2014,18,Consumer
Office Supplies,1,11/13/2016,889,Corporate
Furniture,1,11/29/2014,1135,Consumer
Furniture,1,03-08-2016,24,Home Office
Office Supplies,1,7/20/2016,64,Consumer
Technology,1,5/13/2015,249,Home Office
Furniture,1,2/18/2016,473,Consumer
Furniture,1,10/14/2016,289,Corporate
Office Supplies,1,7/21/2015,104,Consumer
Office Supplies,1,11-10-2016,68,Corporate
Office Supplies,1,10-06-2016,24,Home Office
Technology,1,06-08-2015,2716,Consumer
Technology,1,05-04-2015,62,Home Office
Furniture,1,5/16/2014,683,Consumer
Office Supplies,1,11-05-2015,88,Consumer
Office Supplies,1,12/23/2014,53,Corporate
Technology,1,3/21/2014,829,Consumer
Technology,1,09-10-2016,795,Corporate
Furniture,1,11-11-2014,539,Corporate
Office Supplies,1,12-12-2015,560,Consumer
Office Supplies,1,04-03-2014,48,Home Office
Technology,1,7/25/2015,294,Corporate
Technology,1,02-12-2016,102,Corporate
Furniture,1,10-07-2015,87,Consumer
Furniture,1,10-04-2015,591,Corporate
Office Supplies,1,08-08-2014,409,Consumer
Office Supplies,1,06-07-2014,104,Corporate
Technology,1,10-02-2016,543,Consumer
Technology,1,12/24/2016,400,Corporate
Furniture,1,04-01-2014,244,Corporate
Office Supplies,1,12/23/2016,97,Corporate
Office Supplies,1,9/13/2016,39,Home Office
Furniture,1,01-05-2016,9,Corporate
Office Supplies,1,6/25/2015,6,Consumer
Office Supplies,1,10/29/2015,164,Corporate
Technology,1,7/25/2014,664,Consumer
Technology,1,8/18/2014,81,Corporate
Furniture,1,7/24/2016,35,Consumer
Office Supplies,1,6/22/2015,854,Consumer
Office Supplies,1,12-12-2015,255,Corporate
Technology,1,09-07-2016,422,Consumer
Technology,1,02-04-2016,519,Corporate
Furniture,1,9/28/2015,1539,Corporate
Office Supplies,1,11/19/2014,822,Corporate
Office Supplies,1,02-02-2014,345,Home Office
Technology,1,6/24/2015,74,Consumer
Furniture,1,12-10-2015,601,Consumer
Office Supplies,1,6/16/2015,458,Consumer
Technology,1,6/22/2014,430,Home Office
Technology,1,05-04-2016,90,Consumer
Furniture,1,12-09-2014,309,Consumer
Office Supplies,1,1/31/2014,6,Consumer
Office Supplies,1,2/15/2015,683,Corporate
Furniture,1,2/21/2015,11,Consumer
Furniture,1,1/31/2015,29,Corporate
Office Supplies,1,6/22/2014,949,Consumer
Office Supplies,1,8/20/2016,102,Corporate
Office Supplies,1,11-07-2016,82,Home Office
Technology,1,09-03-2014,120,Consumer
Office Supplies,1,10/22/2015,200,Consumer
Office Supplies,1,01-03-2015,52,Corporate
Office Supplies,1,12-12-2015,12,Home Office
Technology,1,10/26/2015,107,Consumer
Technology,1,10-05-2016,244,Corporate
Furniture,1,8/19/2015,236,Corporate
Office Supplies,1,4/23/2014,67,Consumer
Furniture,1,2/15/2014,3206,Consumer
Furniture,1,2/28/2016,494,Corporate
Office Supplies,1,9/24/2014,187,Consumer
Office Supplies,1,3/22/2016,305,Corporate
Office Supplies,1,8/16/2015,60,Home Office
Technology,1,10-07-2014,1512,Consumer
Technology,1,8/16/2014,409,Corporate
Furniture,1,4/16/2016,186,Consumer
Furniture,1,1/28/2016,301,Home Office
Office Supplies,1,03-08-2016,1202,Consumer
Office Supplies,1,5/21/2015,133,Home Office
Office Supplies,1,6/19/2014,786,Consumer
Office Supplies,1,04-02-2014,84,Corporate
Office Supplies,1,10/22/2014,1067,Consumer
Office Supplies,1,11/29/2016,651,Corporate
Office Supplies,1,12/21/2015,9,Home Office
Furniture,1,7/28/2015,240,Consumer
Furniture,1,01-07-2016,811,Corporate
Office Supplies,1,09-06-2016,306,Consumer
Technology,1,10/25/2015,725,Consumer
Furniture,1,12/22/2014,18,Consumer
Office Supplies,1,03-11-2016,61,Corporate
Technology,1,3/14/2015,1071,Corporate
Furniture,1,9/23/2014,124,Corporate
Office Supplies,1,03-02-2014,11,Corporate
Technology,1,12-07-2016,300,Corporate
Office Supplies,1,12-04-2016,77,Consumer
Technology,1,10/30/2015,147,Consumer
Furniture,1,2/21/2014,101,Home Office
Office Supplies,1,01-12-2015,4,Consumer
Office Supplies,1,4/24/2015,30,Corporate
Office Supplies,1,2/24/2015,53,Home Office
Technology,1,05-09-2016,314,Corporate
Office Supplies,1,08-07-2015,185,Corporate
Office Supplies,1,3/22/2015,39,Consumer
Office Supplies,1,10-07-2016,62,Corporate
Technology,1,5/27/2015,196,Consumer
Technology,1,2/19/2016,198,Corporate
Furniture,1,7/14/2015,446,Home Office
Office Supplies,1,6/29/2014,71,Consumer
Office Supplies,1,9/27/2016,453,Home Office
Office Supplies,1,1/14/2016,648,Consumer
Office Supplies,1,3/21/2015,15,Home Office
Technology,1,5/15/2016,42,Consumer
Office Supplies,1,9/17/2015,165,Home Office
Furniture,1,05-06-2014,190,Consumer
Furniture,1,8/13/2016,602,Corporate
Furniture,1,03-03-2015,131,Home Office
Office Supplies,1,6/18/2015,1454,Consumer
Office Supplies,1,9/24/2016,40,Home Office
Technology,1,12/21/2014,1316,Consumer
Furniture,1,5/25/2016,215,Corporate
Office Supplies,1,8/22/2015,397,Consumer
Office Supplies,1,04-01-2015,8,Corporate
Technology,1,2/21/2015,66,Consumer
Office Supplies,1,10/14/2014,28,Consumer
Technology,1,4/30/2015,110,Consumer
Technology,1,9/23/2015,740,Corporate
Furniture,1,05-07-2015,484,Consumer
Office Supplies,1,09-09-2016,183,Consumer
Office Supplies,1,01-10-2014,3,Corporate
Technology,1,01-06-2014,775,Consumer
Technology,1,7/29/2016,66,Corporate
Furniture,1,4/15/2016,160,Corporate
Office Supplies,1,11/20/2015,43,Consumer
Office Supplies,1,09-08-2016,14,Consumer
Furniture,1,5/27/2014,14,Home Office
Office Supplies,1,5/22/2014,86,Consumer
Office Supplies,1,9/27/2015,323,Corporate
Technology,1,11/21/2015,36,Corporate
Office Supplies,1,4/16/2014,467,Consumer
Technology,1,6/21/2015,15,Home Office
Furniture,1,8/27/2014,567,Consumer
Furniture,1,12-02-2014,2800,Corporate
Furniture,1,7/16/2014,709,Home Office
Office Supplies,1,12/19/2016,98,Corporate
Office Supplies,1,3/27/2016,37,Home Office
Technology,1,10/20/2015,371,Corporate
Furniture,1,11-06-2014,100,Home Office
Office Supplies,1,7/26/2015,293,Consumer
Office Supplies,1,2/19/2016,25,Corporate
Furniture,1,6/23/2014,506,Consumer
Furniture,1,4/25/2014,21,Home Office
Office Supplies,1,12-04-2016,216,Consumer
Office Supplies,1,03-10-2015,1081,Corporate
Office Supplies,1,9/16/2014,789,Home Office
Technology,1,10-08-2015,729,Consumer
Technology,1,7/26/2014,648,Home Office
Furniture,1,9/29/2016,634,Consumer
Furniture,1,5/26/2016,2602,Corporate
Office Supplies,1,5/15/2014,207,Consumer
Office Supplies,1,7/15/2016,178,Corporate
Technology,1,6/17/2016,745,Consumer
Technology,1,1/30/2014,530,Corporate
Technology,1,08-03-2014,44,Home Office
Furniture,1,12/18/2015,220,Consumer
Office Supplies,1,10/30/2015,331,Consumer
Office Supplies,1,10/17/2014,98,Corporate
Technology,1,7/31/2016,65,Consumer
Furniture,1,12/25/2015,147,Consumer
Office Supplies,1,6/27/2014,41,Consumer
Office Supplies,1,9/20/2016,17,Corporate
Technology,1,08-08-2016,92,Consumer
Furniture,1,10/17/2016,390,Corporate
Office Supplies,1,11-03-2016,15,Corporate
Office Supplies,1,5/18/2015,101,Home Office
Technology,1,12/19/2016,123,Home Office
Furniture,1,07-02-2014,825,Consumer
Office Supplies,1,11/14/2016,171,Consumer
Technology,1,02-04-2016,606,Consumer
Office Supplies,1,12-09-2014,23,Consumer
Furniture,1,10/13/2016,173,Consumer
Office Supplies,1,10/17/2016,427,Consumer
Office Supplies,1,1/22/2015,75,Corporate
Office Supplies,1,12-11-2015,4622,Home Office
Technology,1,2/16/2016,495,Consumer
Technology,1,10/14/2015,21,Corporate
Technology,1,1/20/2016,7,Home Office
Furniture,1,06-05-2016,1322,Consumer
Furniture,1,3/23/2015,92,Home Office
Office Supplies,1,11-12-2016,558,Consumer
Office Supplies,1,11-09-2016,51,Home Office
Technology,1,8/15/2016,4735,Consumer
Technology,1,05-12-2016,156,Home Office
Furniture,1,10/18/2016,598,Consumer
Furniture,1,5/17/2016,74,Home Office
Office Supplies,1,02-04-2015,139,Consumer
Office Supplies,1,3/30/2015,161,Corporate
Office Supplies,1,02-01-2014,993,Home Office
Technology,1,9/26/2014,253,Home Office
Furniture,1,12/30/2014,127,Consumer
Office Supplies,1,11/15/2014,754,Consumer
Office Supplies,1,08-03-2016,498,Corporate
Technology,1,5/26/2015,2772,Consumer
Furniture,1,02-07-2015,3161,Consumer
Furniture,1,8/24/2016,425,Corporate
Office Supplies,1,1/22/2016,842,Consumer
Office Supplies,1,10/17/2015,48,Corporate
Office Supplies,1,12/22/2015,225,Home Office
Technology,1,3/14/2015,426,Consumer
Technology,1,07-04-2015,169,Corporate
Furniture,1,4/14/2015,780,Consumer
Office Supplies,1,5/23/2014,113,Consumer
Office Supplies,1,07-06-2014,108,Corporate
Technology,1,7/16/2014,29,Consumer
Technology,1,09-02-2015,320,Corporate
Furniture,1,6/18/2016,2721,Consumer
Furniture,1,10/24/2016,160,Home Office
Office Supplies,1,03-09-2016,551,Consumer
Office Supplies,1,04-10-2014,74,Corporate
Office Supplies,1,11-05-2014,316,Home Office
Technology,1,7/29/2016,88,Consumer
Technology,1,03-02-2016,64,Corporate
Furniture,1,05-01-2014,16,Home Office
Office Supplies,1,05-08-2015,67,Consumer
Furniture,1,04-02-2014,265,Consumer
Office Supplies,1,5/25/2015,428,Consumer
Office Supplies,1,08-07-2015,119,Home Office
Technology,1,9/20/2015,792,Consumer
Technology,1,11/26/2015,488,Corporate
Office Supplies,1,03-07-2015,454,Consumer
Office Supplies,1,09-11-2016,35,Corporate
Office Supplies,1,01-02-2016,65,Home Office
Technology,1,02-10-2015,4500,Consumer
Technology,1,2/19/2015,671,Corporate
Furniture,1,12-09-2014,1437,Corporate
Furniture,1,12-11-2016,72,Home Office
Office Supplies,1,6/20/2015,37,Consumer
Office Supplies,1,10/14/2016,169,Corporate
Technology,1,1/20/2016,22,Corporate
Technology,1,10/23/2016,160,Home Office
Furniture,1,12/31/2015,1149,Consumer
Office Supplies,1,2/29/2016,773,Consumer
Technology,1,01-12-2014,189,Consumer
Office Supplies,1,11/16/2015,680,Consumer
Office Supplies,1,03-03-2016,25,Home Office
Technology,1,7/13/2015,442,Consumer
Furniture,1,2/22/2014,1106,Corporate
Office Supplies,1,8/21/2015,121,Consumer
Office Supplies,1,5/19/2015,940,Corporate
Furniture,1,9/29/2015,252,Corporate
Furniture,1,10-02-2016,104,Home Office
Office Supplies,1,08-09-2014,17,Corporate
Office Supplies,1,5/18/2015,12,Home Office
Furniture,1,12-09-2014,186,Consumer
Furniture,1,11/15/2015,118,Corporate
Furniture,1,05-08-2015,125,Home Office
Office Supplies,1,3/19/2016,507,Consumer
Office Supplies,1,04-04-2015,57,Corporate
Office Supplies,1,05-11-2015,12,Home Office
Technology,1,11-06-2016,356,Consumer
Technology,1,9/22/2014,532,Corporate
Technology,1,4/16/2016,90,Home Office
Furniture,1,6/14/2016,1240,Consumer
Furniture,1,5/24/2015,2174,Corporate
Office Supplies,1,10/15/2015,859,Consumer
Office Supplies,1,7/21/2014,380,Corporate
Technology,1,06-06-2015,223,Consumer
Furniture,1,02-10-2014,1631,Home Office
Office Supplies,1,05-08-2015,223,Consumer
Office Supplies,1,10/30/2015,9,Corporate
Office Supplies,1,10/29/2016,1642,Home Office
Technology,1,3/17/2014,272,Consumer
Furniture,1,08-06-2015,98,Corporate
Furniture,1,10-08-2016,170,Home Office
Office Supplies,1,6/26/2015,424,Consumer
Office Supplies,1,2/23/2014,485,Corporate
Furniture,1,7/23/2014,96,Corporate
Furniture,1,1/22/2015,14,Home Office
Office Supplies,1,05-06-2014,97,Consumer
Office Supplies,1,7/24/2015,41,Corporate
Office Supplies,1,1/26/2016,205,Home Office
Technology,1,2/24/2014,103,Consumer
Technology,1,11-10-2014,64,Corporate
Furniture,1,02-12-2015,365,Consumer
Furniture,1,1/29/2015,653,Corporate
Furniture,1,11-04-2016,27,Home Office
Office Supplies,1,10/21/2016,116,Consumer
Office Supplies,1,10/16/2015,54,Corporate
Office Supplies,1,1/22/2015,33,Home Office
Furniture,1,5/13/2016,295,Consumer
Furniture,1,10-01-2016,651,Corporate
Furniture,1,11/28/2015,20,Home Office
Office Supplies,1,11/26/2016,14,Consumer
Office Supplies,1,07-08-2015,839,Corporate
Office Supplies,1,11/17/2015,501,Home Office
Furniture,1,11/18/2014,815,Consumer
Furniture,1,02-12-2014,771,Corporate
Office Supplies,1,5/26/2015,689,Consumer
Office Supplies,1,3/27/2016,92,Corporate
Technology,1,4/19/2015,467,Consumer
Technology,1,11/27/2015,510,Corporate
Furniture,1,12/14/2015,815,Consumer
Furniture,1,3/13/2014,845,Corporate
Office Supplies,1,12/21/2015,149,Consumer
Office Supplies,1,06-08-2014,113,Corporate
Office Supplies,1,04-02-2015,293,Home Office
Technology,1,3/31/2014,516,Home Office
Furniture,1,02-08-2015,842,Corporate
Office Supplies,1,04-06-2016,30,Consumer
Office Supplies,1,2/18/2014,3,Corporate
Technology,1,5/25/2016,1032,Consumer
Office Supplies,1,8/22/2014,94,Corporate
Office Supplies,1,12/31/2014,147,Consumer
Office Supplies,1,11-04-2016,26,Corporate
Office Supplies,1,11/28/2016,44,Home Office
Technology,1,9/26/2014,249,Consumer
Technology,1,01-02-2015,790,Corporate
Furniture,1,10/30/2016,445,Consumer
Office Supplies,1,4/26/2015,2,Consumer
Furniture,1,06-04-2014,528,Consumer
Office Supplies,1,11/21/2016,59,Consumer
Technology,1,10/18/2015,158,Consumer
Office Supplies,1,12-10-2014,56,Consumer
Office Supplies,1,12-09-2014,826,Corporate
Technology,1,07-11-2016,18900,Corporate
Furniture,1,3/21/2014,629,Consumer
Furniture,1,1/16/2016,41,Corporate
Furniture,1,5/19/2014,842,Home Office
Office Supplies,1,05-08-2015,15,Consumer
Office Supplies,1,05-03-2016,102,Home Office
Furniture,1,07-03-2015,259,Consumer
Furniture,1,07-09-2016,10,Corporate
Office Supplies,1,08-04-2014,59,Consumer
Office Supplies,1,5/31/2015,158,Home Office
Technology,1,3/13/2015,48,Corporate
Technology,1,05-07-2014,4752,Home Office
Office Supplies,1,3/27/2016,29,Consumer
Office Supplies,1,07-03-2014,28,Home Office
Technology,1,10/15/2015,710,Home Office
Office Supplies,1,1/30/2015,144,Consumer
Office Supplies,1,5/25/2016,4,Home Office
Technology,1,07-08-2016,720,Corporate
Furniture,1,3/24/2016,53,Corporate
Office Supplies,1,05-02-2015,454,Consumer
Office Supplies,1,12/16/2016,62,Home Office
Furniture,1,9/24/2014,286,Corporate
Furniture,1,1/16/2015,151,Home Office
Office Supplies,1,09-12-2014,17,Corporate
Office Supplies,1,02-04-2015,2,Home Office
Technology,1,10-03-2014,26,Corporate
Furniture,1,6/26/2015,15,Consumer
Furniture,1,2/22/2016,188,Corporate
Office Supplies,1,12-11-2015,18,Consumer
Office Supplies,1,7/21/2014,24,Corporate
Technology,1,12-05-2014,15,Corporate
Office Supplies,1,7/16/2014,30,Consumer
Furniture,1,10/23/2015,196,Consumer
Furniture,1,10/22/2016,901,Corporate
Office Supplies,1,01-03-2015,248,Consumer
Office Supplies,1,04-01-2016,172,Corporate
Technology,1,11-03-2016,179,Consumer
Furniture,1,12/17/2015,89,Consumer
Office Supplies,1,03-09-2016,158,Consumer
Office Supplies,1,6/16/2015,119,Corporate
Technology,1,08-02-2016,1422,Consumer
Technology,1,3/19/2014,1205,Corporate
Office Supplies,1,3/25/2014,298,Corporate
Office Supplies,1,7/30/2014,1234,Home Office
Technology,1,8/30/2015,6,Home Office
Furniture,1,06-08-2015,128,Corporate
Furniture,1,12/31/2016,114,Consumer
Furniture,1,10/21/2014,133,Home Office
Office Supplies,1,12-10-2015,332,Consumer
Office Supplies,1,11/20/2014,2121,Home Office
Technology,1,12-12-2016,400,Home Office
Furniture,1,3/25/2015,317,Consumer
Furniture,1,06-08-2015,52,Consumer
Furniture,1,06-07-2014,379,Corporate
Furniture,1,3/28/2014,62,Home Office
Office Supplies,1,12/30/2015,97,Consumer
Office Supplies,1,6/26/2015,17,Corporate
Technology,1,6/25/2014,346,Consumer
Furniture,1,10-05-2016,273,Consumer
Furniture,1,10-10-2015,1842,Corporate
Furniture,1,6/30/2015,41,Home Office
Office Supplies,1,2/22/2015,707,Consumer
Office Supplies,1,11-02-2014,138,Corporate
Office Supplies,1,2/27/2016,4572,Home Office
Technology,1,7/23/2014,431,Consumer
Furniture,1,05-08-2015,126,Consumer
Furniture,1,1/14/2016,28,Home Office
Office Supplies,1,05-06-2015,15,Consumer
Furniture,1,10/23/2014,15,Corporate
Office Supplies,1,6/21/2015,53,Corporate
Office Supplies,1,08-06-2016,337,Home Office
Office Supplies,1,02-08-2014,14,Corporate
Technology,1,5/29/2014,202,Consumer
Technology,1,10/13/2015,501,Corporate
Technology,1,07-04-2016,593,Home Office
Technology,1,06-01-2016,855,Corporate
Furniture,1,7/24/2015,766,Consumer
Office Supplies,1,7/28/2016,80,Consumer
Office Supplies,1,2/14/2015,69,Corporate
Office Supplies,1,2/19/2016,69,Home Office
Furniture,1,07-09-2014,258,Consumer
Furniture,1,1/21/2014,826,Corporate
Office Supplies,1,4/21/2015,158,Consumer
Office Supplies,1,09-05-2014,1226,Corporate
Technology,1,12/31/2016,314,Consumer
Furniture,1,11-01-2014,73,Consumer
Office Supplies,1,5/17/2015,12,Consumer
Office Supplies,1,4/14/2016,53,Corporate
Office Supplies,1,8/24/2014,13,Consumer
Office Supplies,1,9/28/2015,134,Corporate
Furniture,1,11-06-2015,522,Consumer
Furniture,1,3/25/2015,1915,Corporate
Office Supplies,1,02-12-2015,31,Consumer
Office Supplies,1,01-04-2014,1351,Corporate
Office Supplies,1,5/24/2016,121,Corporate
Office Supplies,1,05-08-2016,272,Home Office
Technology,1,4/26/2016,62,Consumer
Technology,1,04-10-2015,19,Home Office
Furniture,1,4/24/2016,1085,Consumer
Furniture,1,05-08-2014,494,Home Office
Office Supplies,1,10/18/2015,1732,Consumer
Office Supplies,1,4/24/2014,9,Corporate
Technology,1,3/22/2016,237,Consumer
Technology,1,12/14/2014,76,Home Office
Furniture,1,4/28/2014,125,Consumer
Furniture,1,6/16/2015,1967,Corporate
Office Supplies,1,03-11-2015,181,Consumer
Office Supplies,1,3/27/2014,818,Corporate
Office Supplies,1,10-11-2014,45,Home Office
Technology,1,4/24/2014,680,Consumer
Furniture,1,7/23/2014,2727,Consumer
Office Supplies,1,8/31/2014,232,Consumer
Office Supplies,1,8/26/2014,225,Home Office
Technology,1,11-10-2015,862,Consumer
Technology,1,2/27/2014,23,Corporate
Furniture,1,01-10-2014,234,Corporate
Furniture,1,02-04-2014,301,Home Office
Office Supplies,1,1/20/2016,73,Consumer
Office Supplies,1,10-10-2015,110,Corporate
Furniture,1,04-10-2016,49,Consumer
Furniture,1,11/25/2015,13,Corporate
Furniture,1,4/13/2016,1443,Home Office
Office Supplies,1,11/25/2016,763,Consumer
Office Supplies,1,09-09-2016,85,Corporate
Office Supplies,1,12/18/2014,12,Home Office
Technology,1,1/23/2015,618,Consumer
Technology,1,9/15/2016,558,Corporate
Furniture,1,7/13/2014,1024,Consumer
Technology,1,5/23/2016,461,Consumer
Furniture,1,02-07-2015,818,Consumer
Furniture,1,12/26/2016,32,Corporate
Furniture,1,06-08-2016,171,Home Office
Office Supplies,1,03-04-2014,1183,Consumer
Office Supplies,1,12/15/2014,404,Corporate
Office Supplies,1,01-04-2015,518,Home Office
Technology,1,08-08-2015,1439,Consumer
